EUR
Total GLAD  0       -5.00   -2.02   0.00     
+U1418343   GM  2015-07-28, 12:05:06    2015-07-31  -   BUY 15  31.2700 -469.05 -1.00   0.00     
Total GM (Bought)   15  31.2700 -469.05 -1.00   0.00     
+U1418343   GPRO    2015-03-04, 13:37:55    2015-03-09  -   BUY 20  43.2500 -865.00 -1.00   0.00     
Total GPRO (Bought) 20  43.2500 -865.00 -1.00   0.00     
+U1418343   GPRO    2015-03-04, 14:20:06    2015-03-09  -   SELL    -20 43.3900 867.80  -1.02   0.00     
Total GPRO (Sold)   -20 43.3900 867.80  -1.02   0.00     
Total GPRO  0       2.80    -2.02   0.00     
+U1418343   HAL 2014-12-11, 13:47:57    2014-12-16  -   BUY 15  38.5100 -577.65 -1.00   0.00    P
Total HAL (Bought)  15  38.5100 -577.65 -1.00   0.00     
+U1418343   HAL 2015-01-05, 14:25:09    2015-01-08  -   SELL    -15 38.7100 580.65  -1.01   0.00     
Total HAL (Sold)    -15 38.7100 580.65  -1.01   0.00     
Total HAL   0       3.00    -2.01   0.00     
+U1418343   HCP 2015-05-18, 15:13:45    2015-05-21  -   BUY 15  39.8000 -597.00 -1.00   0.00     
Total HCP (Bought)  15  39.8000 -597.00 -1.00   0.00     
+U1418343   HK  2015-01-06, 11:19:25    2015-01-09  -   BUY 40  1.6000  -64.00  -1.00   0.00     
+U1418343   HK  2015-01-06, 11:23:49    2015-01-09  -   BUY 360 1.5800  -568.80 -1.80   0.00    P
Total HK (Bought)   400 1.5820  -632.80 -2.80   0.00     
+U1418343   HK  2015-02-02, 14:44:54    2015-02-05  -   SELL    -200    1.4900  298.00  -1.01   0.00    P
+U1418343   HK  2015-02-03, 13:13:19    2015-02-06  -   SELL    -200    1.6800  336.00  -1.01   0.00     
Total HK (Sold) -400    1.5850  634.00  -2.01   0.00     
Total HK    0       1.20    -4.81   0.00     
+U1418343   IEP 2015-06-19, 11:46:04    2015-06-24  -   BUY 5   86.3100 -431.55 -1.00   0.00     
+U1418343   IEP 2015-07-06, 11:15:47    2015-07-09  -   BUY 5   83.1300 -415.65 -1.00   0.00     
+U1418343   IEP 2015-08-20, 11:19:03    2015-08-25  -   BUY 10  70.0000 -700.00 -1.00   0.00     
Total IEP (Bought)  20  77.3600 -1,547.20   -3.00   0.00     
+U1418343   JPEP    2015-04-17, 10:44:32    2015-04-22  -   BUY 50  13.6000 -680.00 -1.00   0.00     
+U1418343   JPEP    2015-07-21, 10:46:46    2015-07-24  -   BUY 25  11.7500 -293.75 -1.00   0.00     
+U1418343   JPEP    2015-08-11, 09:36:46    2015-08-14  -   BUY 10  8.0000  -80.00  -1.00   0.00     
Total JPEP (Bought) 85  12.3970588  -1,053.75   -3.00   0.00     
+U1418343   KKR 2015-03-02, 12:20:22    2015-03-05  -   BUY 50  23.5000 -1,175.00   -1.00   0.00     
+U1418343   KKR 2015-03-05, 09:54:56    2015-03-10  -   BUY 50  23.9300 -1,196.50   -1.00   0.00     
+U1418343   KKR 2015-07-08, 10:11:19    2015-07-13  -   BUY 20  22.5100 -450.20 -1.00   0.00     
+U1418343   KKR 2015-08-24, 09:33:16    2015-08-27  -   BUY 20  12.0000 -240.00 -1.00   0.00     
Total KKR (Bought)  140 21.8692857  -3,061.70   -4.00   0.00     
